Player,Club,POS,MINS,G,A,SHTS,G/90min,A/90min,OFF,YC,RC,Year,Season
Brian Maisonneuve,CLB,M,2734,3,9,52,0.1,0.3,14,2,0,1997,reg
Chris Armas,LA ,M,2307,3,5,21,0.12,0.2,3,3,1,1997,reg
Jesse Marsch,DC ,M,233,3,3,5,1.16,1.16,0,0,0,1997,reg
Eddie Pope,DC ,D,2513,3,2,12,0.11,0.07,1,0,0,1997,reg
Troy Dayak,SJ ,D,1817,3,2,18,0.15,0.1,2,3,0,1997,reg
Nelson Vargas,TB ,M,967,3,2,21,0.28,0.19,1,0,0,1997,reg
Marcelo Carrera,CLB,F,1224,3,2,26,0.22,0.15,7,0,0,1997,reg
Shaun Bartlett,COL,F,1451,3,2,35,0.19,0.12,4,1,0,1997,reg
Jose Vasquez,LA ,D,248,3,0,3,1.09,0.0,0,1,0,1997,reg
Sean Bowers,KC ,D,2017,3,0,15,0.13,0.0,1,0,0,1997,reg
Evans Wise,NE ,M,979,3,0,20,0.28,0.0,6,3,0,1997,reg
Sean Henderson,COL,M,1650,3,0,20,0.16,0.0,1,5,0,1997,reg
Eddie Lewis,SJ ,M,2233,2,14,35,0.08,0.56,17,0,1,1997,reg
Miles Joseph,MET,M,1745,2,10,29,0.1,0.52,9,0,0,1997,reg
Richie Williams,DC ,M,2606,2,9,22,0.07,0.31,3,3,0,1997,reg
John Maessner,DC ,M-D,2008,2,9,32,0.09,0.4,5,2,0,1997,reg
Alain Sutter,DAL,M,1801,2,8,46,0.1,0.4,4,3,0,1997,reg
Mark Santel,DAL,M,2470,2,6,12,0.07,0.22,5,4,0,1997,reg
Christopher Sullivan,SJ ,M,1017,2,6,17,0.18,0.53,1,0,0,1997,reg
Kris Kelderman,DC ,M,910,2,4,11,0.2,0.4,0,1,0,1997,reg
Tab Ramos,MET,M,1006,2,4,12,0.18,0.36,7,5,0,1997,reg
Daniel Peinado,DAL,M,1870,2,4,13,0.1,0.19,0,4,1,1997,reg
Dominic Kinnear,SJ ,M,1939,2,4,17,0.09,0.19,1,1,0,1997,reg
John Kerr,NE ,F,1136,2,4,19,0.16,0.32,13,1,0,1997,reg
Doctor Khumalo,CLB,M,1323,2,4,23,0.14,0.27,4,2,0,1997,reg
Ross Paule,COL,M,858,2,3,7,0.21,0.31,3,1,0,1997,reg
Alexi Lalas,NE ,D,2607,2,3,24,0.07,0.1,9,8,0,1997,reg
Marcelo Balboa,COL,D,2520,2,3,44,0.07,0.11,2,2,0,1997,reg
Jason Farrell,CLB,F,1027,2,2,25,0.18,0.18,4,0,0,1997,reg
Danny Pena,LA ,D,2230,2,2,31,0.08,0.08,2,7,0,1997,reg
Wade Webber,DAL,D,1588,2,1,7,0.11,0.06,1,1,0,1997,reg
Todd Yeagley,CLB,M,1997,2,1,10,0.09,0.05,3,2,1,1997,reg
Mark Semioli,LA ,D,2381,2,1,12,0.08,0.04,3,7,0,1997,reg
John Doyle,SJ ,D,2376,2,1,21,0.08,0.04,1,8,0,1997,reg
Ted Chronopoulos,NE ,D,2624,2,1,30,0.07,0.03,6,6,2,1997,reg
Frankie Hejduk,TB ,D,1942,1,6,20,0.05,0.28,11,9,2,1997,reg
Jorge Salcedo,CLB,M,2240,1,5,21,0.04,0.2,0,3,0,1997,reg
Ryan Tinsley,KC ,D,2588,1,4,5,0.03,0.14,4,4,1,1997,reg
Brian Kelly,MET,M,1354,1,4,23,0.07,0.27,9,0,0,1997,reg
Ted Eck,DAL,M-F,1839,1,4,27,0.05,0.2,4,1,1,1997,reg
Temoc Suarez,DAL,M,721,1,3,10,0.12,0.37,3,0,0,1997,reg
Alejandro Farias,NE ,M,2070,1,3,11,0.04,0.13,1,2,1,1997,reg
Jeff Agoos,DC ,D,2412,1,3,14,0.04,0.11,1,1,0,1997,reg
Istvan Urbanyi,SJ ,M,1555,1,3,22,0.06,0.17,0,3,1,1997,reg
Greg Vanney,LA ,D,2318,1,3,28,0.04,0.12,6,6,0,1997,reg
Mike Clark,CLB,D,2484,1,2,7,0.04,0.07,3,4,0,1997,reg
Branco,MET,D,922,1,2,8,0.1,0.2,0,3,3,1997,reg
Paul Caligiuri,LA ,D,1406,1,2,9,0.06,0.13,3,4,1,1997,reg
Diego Sonora,DAL,M-D,1421,1,2,9,0.06,0.13,7,2,0,1997,reg
Edmundo Rodriguez,KC ,M,543,1,2,9,0.17,0.33,1,2,0,1997,reg
Michael Emenalo,SJ ,D,2283,1,2,10,0.04,0.08,2,8,0,1997,reg
Cle Kooiman,TB ,D,2296,1,2,10,0.04,0.08,0,6,2,1997,reg
Mike Lapper,CLB,D,1785,1,2,12,0.05,0.1,0,2,0,1997,reg
Brian Bliss,CLB,D,2047,1,2,13,0.04,0.09,3,2,0,1997,reg
Zico,SJ ,F,257,1,1,4,0.35,0.35,3,0,0,1997,reg
Billy Thompson,CLB,M,298,1,1,6,0.3,0.3,2,0,0,1997,reg
Joao Batista,TB ,M,1051,1,1,6,0.09,0.09,2,4,0,1997,reg
Jorge Flores,DAL,M,667,1,1,6,0.13,0.13,0,0,0,1997,reg
Brian Johnson,KC ,M,951,1,1,11,0.09,0.09,0,0,0,1997,reg
Paul Keegan,NE ,F,652,1,1,12,0.14,0.14,9,2,0,1997,reg
Steve Rammel,COL,F,1132,1,1,20,0.08,0.08,21,1,0,1997,reg
Musa Shannon,TB ,M-F,148,1,0,2,0.61,0.0,2,0,0,1997,reg
Brian Kamler,DC ,M,161,1,0,5,0.56,0.0,1,0,0,1997,reg
Mario Gori,DC ,D,609,1,0,5,0.15,0.0,3,3,0,1997,reg
Clint Peay,DC ,D,814,1,0,6,0.11,0.0,1,1,0,1997,reg
Brian Taylor,LA ,M,413,1,0,9,0.22,0.0,5,1,1,1997,reg
Ansil Elcock,CLB,D,1858,1,0,10,0.05,0.0,2,3,1,1997,reg
Darren Sawatzky,NE ,F,895,1,0,16,0.1,0.0,8,1,0,1997,reg
Matt Kmosko,COL,D,2760,0,3,5,0.0,0.1,1,6,1,1997,reg
Uche Okafor,KC ,D,2386,0,3,6,0.0,0.11,1,4,0,1997,reg
Tim Martin,SJ ,D,2422,0,3,7,0.0,0.11,2,2,0,1997,reg
Arnold Cruz,DC ,D,2058,0,3,17,0.0,0.13,0,3,1,1997,reg
Sergio Miguez,CLB,D,1361,0,2,1,0.0,0.13,0,1,0,1997,reg
David Vaudreuil,DC ,D,1790,0,2,4,0.0,0.1,2,0,0,1997,reg
Adam Frye,TB ,D,1437,0,2,6,0.0,0.13,2,4,0,1997,reg
Tom Soehn,DAL,D,1948,0,2,7,0.0,0.09,0,3,0,1997,reg
Guillermo Jara,LA ,M,353,0,2,9,0.0,0.51,1,1,0,1997,reg
Tote Castaneda,COL,M,1642,0,2,10,0.0,0.11,2,0,0,1997,reg
Manny Lagos,MET,M,1216,0,2,11,0.0,0.15,2,1,0,1997,reg
Marco Ferruzzi,TB ,M,578,0,2,15,0.0,0.31,4,1,0,1997,reg
Mike Burns,NE ,M,2880,0,2,36,0.0,0.06,0,5,0,1997,reg
Daniel Guzman,SJ ,F,219,0,1,0,0.0,0.41,9,0,0,1997,reg
Brandon Pollard,DAL,D,1526,0,1,0,0.0,0.06,0,1,0,1997,reg
Andrew Lewis,MET,M,1421,0,1,0,0.0,0.06,0,1,0,1997,reg
Gerson Echeverry,MET,F,74,0,1,1,0.0,1.22,1,0,0,1997,reg
Rafael Amaya,COL,D,236,0,1,2,0.0,0.38,0,1,0,1997,reg
Bill Harte,NE ,M,459,0,1,3,0.0,0.2,1,0,0,1997,reg
Peter Hattrup,DAL,M,225,0,1,4,0.0,0.4,2,0,0,1997,reg
Jose Botello,LA ,F,151,0,1,4,0.0,0.6,1,0,0,1997,reg
Tahj Jakins,COL,D,1132,0,1,5,0.0,0.08,1,2,0,1997,reg
Oscar Draguicevich,SJ ,D,890,0,1,6,0.0,0.1,0,3,0,1997,reg
Cristian da Silva,MET,D,592,0,1,7,0.0,0.15,0,1,0,1997,reg
Ezra Hendrickson,LA ,D,797,0,1,7,0.0,0.11,0,1,0,1997,reg
Richard Gough,KC ,D,1457,0,1,7,0.0,0.06,0,4,0,1997,reg
Steve Jolley,LA ,D,882,0,1,7,0.0,0.1,1,0,0,1997,reg
Guido,MET,M,792,0,1,7,0.0,0.11,2,2,0,1997,reg
Rhett Harty,MET,D,2279,0,1,10,0.0,0.04,0,4,0,1997,reg
Braeden Cloutier,MET,M,922,0,1,11,0.0,0.1,1,1,0,1997,reg
Diego Gutierrez,KC ,D,0,0,0,0,0.0,0.0,0,0,0,1997,reg
Rob Johnson,MET,F,29,0,0,0,0.0,0.0,0,0,0,1997,reg
Brian Dunseth,NE ,D,185,0,0,0,0.0,0.0,0,0,0,1997,reg
Brian Haynes,DAL,M,70,0,0,0,0.0,0.0,0,1,0,1997,reg
Tayt Ianni,SJ ,D,45,0,0,0,0.0,0.0,0,0,0,1997,reg
Nino Da Silva,KC ,F,12,0,0,0,0.0,0.0,0,0,0,1997,reg
John Diffley,KC ,D,148,0,0,0,0.0,0.0,0,0,0,1997,reg
Jake Dancy,KC ,M,116,0,0,0,0.0,0.0,0,0,0,1997,reg
Altimont Butler,CLB,M,45,0,0,0,0.0,0.0,0,0,0,1997,reg
Ubusuku Abukusumo,CLB,D,19,0,0,0,0.0,0.0,0,0,0,1997,reg
Derek Backman,TB ,M,188,0,0,0,0.0,0.0,0,1,0,1997,reg
Esmundo Rodriguez,SJ ,M,5,0,0,0,0.0,0.0,0,0,0,1997,reg
Juan Sastoque,DAL,F,23,0,0,0,0.0,0.0,2,0,0,1997,reg
Joey Thieman,DC ,M,58,0,0,0,0.0,0.0,0,0,0,1997,reg
Dionysus Sebwe,KC ,D,0,0,0,0,0.0,0.0,0,0,0,1997,reg
Ike Udeh,KC ,F,0,0,0,0,0.0,0.0,0,0,0,1997,reg
Gabe Jones,DAL,F,7,0,0,0,0.0,0.0,0,0,0,1997,reg
Steve Klein,NE ,M,73,0,0,0,0.0,0.0,1,0,0,1997,reg
Peter Lak,LA ,D,33,0,0,0,0.0,0.0,0,0,0,1997,reg
Greg Lalas,NE ,D,6,0,0,0,0.0,0.0,0,0,0,1997,reg
Gerardo Laterza,LA ,M,128,0,0,0,0.0,0.0,0,0,0,1997,reg
Jamel Mitchell,KC ,M,16,0,0,0,0.0,0.0,0,0,0,1997,reg
David Moxom,TB ,D,0,0,0,0,0.0,0.0,0,0,0,1997,reg
Patrick Olalere,NE ,F,21,0,0,0,0.0,0.0,1,0,0,1997,reg
Curt Onalfo,SJ ,D,179,0,0,0,0.0,0.0,0,1,0,1997,reg
Kevin Wylie,NE ,F,31,0,0,0,0.0,0.0,0,0,0,1997,reg
Francis Okaroh,NE ,D,2528,0,0,1,0.0,0.0,0,2,0,1997,reg
Todd Miller,CLB,M,81,0,0,1,0.0,0.0,0,0,0,1997,reg
Matt Knowles,MET,D,173,0,0,1,0.0,0.0,0,1,0,1997,reg
Joao Luiz,MET,D,585,0,0,1,0.0,0.0,0,0,0,1997,reg
Dan Stebbins,DAL,F,38,0,0,1,0.0,0.0,0,0,0,1997,reg
Damian Silvera,KC ,M,166,0,0,1,0.0,0.0,0,0,0,1997,reg
Marco Rizi,MET,D,33,0,0,1,0.0,0.0,0,0,0,1997,reg
Richard Farrer,DAL,D,503,0,0,1,0.0,0.0,2,0,0,1997,reg
Carlos Llamosa,DC ,D,1817,0,0,1,0.0,0.0,0,4,0,1997,reg
Eric Quill,TB ,F,108,0,0,1,0.0,0.0,1,0,0,1997,reg
Scott Benedetti,COL,F,133,0,0,2,0.0,0.0,0,0,0,1997,reg
Joey Martinez,DAL,D,1503,0,0,2,0.0,0.0,0,4,0,1997,reg
Brad Wilson,LA ,D,222,0,0,2,0.0,0.0,0,1,0,1997,reg
Jeff Zaun,MET,D,623,0,0,3,0.0,0.0,1,3,0,1997,reg
Janusz Michallik,CLB,M,447,0,0,3,0.0,0.0,0,0,0,1997,reg
Chris Martinez,COL,D,330,0,0,3,0.0,0.0,0,0,0,1997,reg
Carlos Parra,MET,M,273,0,0,3,0.0,0.0,0,1,0,1997,reg
Brian Bates,COL,M,540,0,0,3,0.0,0.0,0,1,0,1997,reg
Erik Imler,DC ,M,855,0,0,3,0.0,0.0,1,1,0,1997,reg
Robin Fraser,LA ,D,2021,0,0,3,0.0,0.0,0,5,0,1997,reg
Ante Razov,LA ,F,79,0,0,3,0.0,0.0,1,0,0,1997,reg
Eric Dade,DAL,D,1306,0,0,4,0.0,0.0,0,1,0,1997,reg
John DeBrito,KC ,D,621,0,0,5,0.0,0.0,1,0,0,1997,reg
John Jones,LA ,M,91,0,0,5,0.0,0.0,1,1,1,1997,reg
Silvio Rudman,CLB,M,191,0,0,5,0.0,0.0,1,1,0,1997,reg
Leonardo Squadrone,NE ,D,1881,0,0,5,0.0,0.0,2,3,0,1997,reg
Frank Yallop,TB ,D,2430,0,0,6,0.0,0.0,0,2,0,1997,reg
Kerry Zavagnin,MET,M,1089,0,0,8,0.0,0.0,1,2,0,1997,reg
Dan Calichman,LA ,D,2848,0,0,8,0.0,0.0,0,7,0,1997,reg
Mike Duhaney,TB ,D,2205,0,0,8,0.0,0.0,1,3,0,1997,reg
Rob Jachym,CLB,F,247,0,0,10,0.0,0.0,2,1,0,1997,reg
Ramiro Corrales,SJ ,M,1033,0,0,10,0.0,0.0,0,2,0,1997,reg
Rob Smith,CLB,M,1106,0,0,11,0.0,0.0,7,1,0,1997,reg
Steve Pittman,KC ,D,2068,0,0,13,0.0,0.0,1,5,0,1997,reg
Stern John,CLB,F,2170,26,5,116,1.08,0.21,39,2,0,1998,reg
Cobi Jones,LA ,M,2136,19,13,63,0.8,0.55,21,1,0,1998,reg
Raul Diaz Arce,NE ,F,2878,18,8,90,0.56,0.25,44,2,0,1998,reg
Roy Lassiter,DC ,F,2691,18,8,101,0.6,0.27,41,5,0,1998,reg
Welton,LA ,F,2435,17,11,63,0.63,0.41,33,1,1,1998,reg
Jaime Moreno,DC ,F,2610,16,11,87,0.55,0.38,15,2,1,1998,reg
Giovanni Savarese,MET,F,2163,14,7,61,0.58,0.29,23,3,0,1998,reg
Mauricio Cienfuegos,LA ,M,2640,13,16,36,0.44,0.55,9,3,0,1998,reg
Ronald Cerritos,SJ ,F,2702,13,12,87,0.43,0.4,41,4,0,1998,reg
Wolde Harris,COL,F,1133,13,4,42,1.03,0.32,19,2,0,1998,reg
Eduardo Hurtado,LA ,F,2526,11,15,101,0.39,0.53,26,6,0,1998,reg
Diego Serna,MIA,F,1988,11,9,77,0.5,0.41,14,10,1,1998,reg
Paul Bravo,COL,M,2579,11,8,90,0.38,0.28,17,5,0,1998,reg
Maurice Johnston,KC ,M-F,2080,11,2,60,0.48,0.09,9,1,2,1998,reg
Marco Etcheverry,DC ,M,2590,10,19,72,0.35,0.66,10,9,0,1998,reg
Preki,KC ,M,2164,10,13,86,0.42,0.54,5,2,0,1998,reg
Ante Razov,CHI,F,2091,10,9,88,0.43,0.39,32,2,0,1998,reg
Brian McBride,CLB,F,2117,10,7,80,0.43,0.3,17,2,0,1998,reg
Ross Paule,COL,M,2503,10,6,46,0.36,0.22,2,4,0,1998,reg
Roman Kosecki,CHI,F,1999,9,9,70,0.41,0.41,12,3,1,1998,reg
Mauricio Ramos,TB ,M,1932,9,9,85,0.42,0.42,1,2,0,1998,reg
Jason Kreis,DAL,M,2578,9,8,97,0.31,0.28,11,6,1,1998,reg
Jim Rooney,MET,M,2040,8,5,68,0.35,0.22,4,3,2,1998,reg
Josh Wolff,CHI,F,651,8,3,23,1.11,0.41,6,0,0,1998,reg
Jeff Cunningham,CLB,F,1076,8,1,47,0.67,0.08,12,1,0,1998,reg
Joe-Max Moore,NE ,F,1864,7,15,54,0.34,0.72,14,3,0,1998,reg
Alan Prampin,TB ,F,2450,7,11,44,0.26,0.4,41,2,0,1998,reg
Lubos Kubik,CHI,D,2790,7,8,67,0.23,0.26,0,4,0,1998,reg
Edwin Gorter,NE ,M,2394,7,7,72,0.26,0.26,3,5,0,1998,reg
Dante Washington,DAL,F,1852,7,5,51,0.34,0.24,25,1,0,1998,reg
Vitalis Takawira,KC ,F,1769,7,3,29,0.36,0.15,32,1,0,1998,reg
Musa Shannon,TB ,M-F,823,7,2,21,0.77,0.22,9,3,0,1998,reg
Martin Machon,LA ,M,2588,6,14,42,0.21,0.49,6,1,0,1998,reg
Jerzy Podbrozny,CHI,F,1979,6,14,47,0.27,0.64,6,4,0,1998,reg
Peter Nowak,CHI,M,1921,6,12,38,0.28,0.56,3,0,0,1998,reg
Carlos Hermosillo,LA ,F,1530,6,12,39,0.35,0.71,13,0,1,1998,reg
Paul Dougherty,MET,F,2015,6,12,53,0.27,0.54,2,1,0,1998,reg
Waldir,COL,F,1382,6,6,48,0.39,0.39,22,2,0,1998,reg
Paul Wright,KC ,F,2060,6,6,49,0.26,0.26,12,3,0,1998,reg
John Harkes,DC ,M,2600,6,6,50,0.21,0.21,10,3,0,1998,reg
Eric Wynalda,SJ ,F,1424,6,5,60,0.38,0.32,18,2,0,1998,reg
Frank Klopas,CHI,F,1497,6,4,28,0.36,0.24,23,3,0,1998,reg
Dan Stebbins,MIA,F,1263,6,3,25,0.43,0.21,15,1,0,1998,reg
Brian Kelly,MET,M,2160,6,3,48,0.25,0.13,16,2,0,1998,reg
Jason Farrell,CLB,F,2003,5,10,31,0.22,0.45,3,0,0,1998,reg
Clint Mathis,LA ,M,1550,5,10,50,0.29,0.58,4,5,1,1998,reg
Ezra Hendrickson,LA ,D,1946,5,8,24,0.23,0.37,5,4,0,1998,reg
Steve Ralston,TB ,M,2521,5,8,44,0.18,0.29,4,1,0,1998,reg
Paulinho McLaren,MIA,F,1176,5,6,30,0.38,0.46,31,1,0,1998,reg
Tony Sanneh,DC ,D,1367,5,6,33,0.33,0.4,4,2,0,1998,reg
Marcelo Balboa,COL,D,2290,5,5,67,0.2,0.2,1,2,0,1998,reg
Marcelo Herrera,MIA,M-F,1441,5,4,29,0.31,0.25,8,4,1,1998,reg
Imad Baba,NE ,M,2484,5,4,60,0.18,0.14,10,3,1,1998,reg
Henry Gutierrez,MIA,M,1784,5,3,34,0.25,0.15,0,7,1,1998,reg
Mickey Trotman,DAL,F,1278,5,3,43,0.35,0.21,18,3,0,1998,reg
Ben Olsen,DC ,M,2107,4,8,44,0.17,0.34,15,2,1,1998,reg
Victor Mella,SJ ,M,2350,4,6,44,0.15,0.23,10,4,0,1998,reg
Jeff Baicher,SJ ,M,1099,4,3,20,0.33,0.25,11,3,0,1998,reg
Ritchie Kotschau,CHI,D,1973,4,3,24,0.18,0.14,7,1,0,1998,reg
Paul Rideout,KC ,F,2114,4,3,58,0.17,0.13,9,5,0,1998,reg
Jorge Rodriguez,DAL,M-D,2569,4,2,20,0.14,0.07,0,4,0,1998,reg
Damian,DAL,F,954,4,2,34,0.38,0.19,5,3,0,1998,reg
Oscar Draguicevich,SJ ,D,774,4,1,9,0.47,0.12,0,5,0,1998,reg
Lawrence Lozzano,LA ,M,680,4,1,13,0.53,0.13,12,1,0,1998,reg
Marquis White,COL,F,492,4,1,13,0.73,0.18,4,0,0,1998,reg
Ivan McKinley,NE ,D-M,2282,4,1,34,0.16,0.04,7,5,2,1998,reg
Harut Karapetyan,LA ,F,532,4,0,18,0.68,0.0,6,0,0,1998,reg
Brian Maisonneuve,CLB,M,903,3,7,15,0.3,0.7,1,0,0,1998,reg
Diego Sonora,MET,M-D,2572,3,7,25,0.1,0.24,6,2,0,1998,reg
Dominic Kinnear,TB ,M,868,3,5,13,0.31,0.52,1,1,0,1998,reg
Braeden Cloutier,SJ ,M,2078,3,5,44,0.13,0.22,3,1,0,1998,reg
David Vaudreuil,COL,D,2177,3,4,24,0.12,0.17,7,6,1,1998,reg
Richie Williams,DC ,M,2673,3,4,27,0.1,0.13,2,5,0,1998,reg
Eddie Lewis,SJ ,M,2835,3,4,52,0.1,0.13,8,3,0,1998,reg
Roy Wegerle,DC ,F,1265,3,3,17,0.21,0.21,16,2,0,1998,reg
Marquinho,COL,M,596,3,3,17,0.45,0.45,1,1,0,1998,reg
Greg Vanney,LA ,D,2321,3,3,28,0.12,0.12,0,3,0,1998,reg
Miles Joseph,MET,M,479,3,2,12,0.56,0.38,4,0,0,1998,reg
Joey DiGiamarino,COL,M,1554,3,2,15,0.17,0.12,1,5,0,1998,reg
Rob Smith,CLB,M,1502,3,2,16,0.18,0.12,3,2,0,1998,reg
Gilmar,TB ,M-F,909,3,2,27,0.3,0.2,16,1,0,1998,reg
Jair,NE ,M,643,3,1,9,0.42,0.14,2,0,0,1998,reg
Chad Deering,DAL,M,1114,3,1,16,0.24,0.08,0,1,1,1998,reg
Brian Haynes,DAL,M,1414,3,1,22,0.19,0.06,5,0,0,1998,reg
Gerell Elliott,DAL,F,1100,3,1,31,0.25,0.08,3,1,0,1998,reg
Frankie Hejduk,TB ,D,1618,3,1,34,0.17,0.06,21,5,0,1998,reg
A.J. Wood,DC ,F,416,3,0,14,0.65,0.0,5,0,0,1998,reg
Jerry Tamashiro,MIA,F,524,3,0,19,0.52,0.0,10,2,0,1998,reg
Adrian Paz,COL,M,2313,2,13,50,0.08,0.51,24,7,0,1998,reg
Carlos Valderrama,MIA,M,1542,2,12,16,0.12,0.7,1,2,1,1998,reg
Robert Warzycha,CLB,M,1752,2,10,52,0.1,0.51,3,4,0,1998,reg
Chris Henderson,COL,M,1915,2,9,55,0.09,0.42,21,3,1,1998,reg
Mark Chung,KC ,M,2551,2,8,60,0.07,0.28,6,0,0,1998,reg
Ryan Tinsley,KC ,D,2305,2,5,8,0.08,0.2,0,2,0,1998,reg
Peter Vermes,COL,D,2675,2,5,9,0.07,0.17,1,3,1,1998,reg
Francisco Uribe,SJ ,F,734,2,5,20,0.25,0.61,9,3,0,1998,reg
Nelson Vargas,MIA,M,719,2,4,14,0.25,0.5,2,2,0,1998,reg
Ted Chronopoulos,NE ,D,1960,2,3,16,0.09,0.14,2,4,0,1998,reg
Johnny Torres,NE ,F,1179,2,3,22,0.15,0.23,10,2,0,1998,reg
Jesse Marsch,CHI,M,2199,2,3,23,0.08,0.12,3,4,0,1998,reg
Steve Jolley,LA ,D,2093,2,2,8,0.09,0.09,0,4,0,1998,reg
Todd Yeagley,CLB,M,1957,2,2,12,0.09,0.09,0,5,0,1998,reg
Wade Barrett,SJ ,D,1921,2,2,12,0.09,0.09,0,2,1,1998,reg
Ted Eck,DAL,M-F,2331,2,2,34,0.08,0.08,1,5,1,1998,reg
Richard Gough,SJ ,D,1609,2,1,12,0.11,0.06,0,1,0,1998,reg
Jan Eriksson,TB ,D,2342,2,1,19,0.08,0.04,0,4,0,1998,reg
C.J. Brown,CHI,D,2470,2,0,4,0.07,0.0,0,4,1,1998,reg
Alexi Lalas,MET,D,2250,2,0,12,0.08,0.0,2,7,0,1998,reg
Andy Williams,CLB,M,976,1,12,30,0.09,1.11,3,0,0,1998,reg
Chris Armas,CHI,M,2790,1,10,25,0.03,0.32,0,3,0,1998,reg
Billy Thompson,CLB,M,2190,1,8,17,0.04,0.33,3,2,0,1998,reg
Mike Burns,NE ,M,2025,1,8,18,0.04,0.36,2,3,1,1998,reg
Jorge Salcedo,CHI,M,1909,1,7,18,0.05,0.33,3,3,0,1998,reg
Marcelo Vega,MET,M,1055,1,6,39,0.09,0.51,10,5,1,1998,reg
Chris Houser,TB ,D,2005,1,5,6,0.04,0.22,1,7,1,1998,reg
Tab Ramos,MET,M,1455,1,5,19,0.06,0.31,3,2,1,1998,reg
Leo Cullen,MIA,M,2680,1,4,6,0.03,0.13,0,1,0,1998,reg
Jeff Agoos,DC ,D,1780,1,4,13,0.05,0.2,0,1,1,1998,reg
Wellington Sanchez,LA ,M,698,1,4,15,0.13,0.52,2,5,0,1998,reg
Temoc Suarez,DAL,M,831,1,4,16,0.11,0.43,3,1,0,1998,reg
Paul Keegan,NE ,F,892,1,4,17,0.1,0.4,4,1,0,1998,reg
Brian Kamler,DC ,M,1743,1,4,23,0.05,0.21,2,1,0,1998,reg
Scott Vermillion,KC ,D,1955,1,3,10,0.05,0.14,3,2,0,1998,reg
Mike Duhaney,MET,D,2361,1,3,15,0.04,0.11,1,5,1,1998,reg
Marcelo Carrera,CLB,F,595,1,3,17,0.15,0.45,0,1,0,1998,reg
Brian West,CLB,M-F,478,1,2,10,0.19,0.38,5,1,0,1998,reg
Richard Farrer,DAL,D,2119,1,2,11,0.04,0.08,3,3,0,1998,reg
Richard Goulooze,NE ,D,2529,1,2,12,0.04,0.07,0,2,1,1998,reg
Thomas Dooley,CLB,D,2008,1,2,21,0.04,0.09,0,2,0,1998,reg
John Doyle,SJ ,D,2431,1,2,23,0.04,0.07,3,6,0,1998,reg
Paul Caligiuri,LA ,D,1293,1,1,5,0.07,0.07,0,4,0,1998,reg
Frank Yallop,TB ,D,2703,1,1,11,0.03,0.03,0,3,0,1998,reg
Mike Petke,MET,D,2234,1,1,17,0.04,0.04,1,1,0,1998,reg
Steve Trittschuh,COL,D,2700,1,1,25,0.03,0.03,0,10,0,1998,reg
Mike Lapper,CLB,D,560,1,0,4,0.16,0.0,0,1,1,1998,reg
Jose Vasquez,LA ,D,291,1,0,4,0.31,0.0,2,1,0,1998,reg
Eddie Pope,DC ,D,1754,1,0,6,0.05,0.0,0,4,1,1998,reg
Pete Marino,KC ,F,276,1,0,8,0.33,0.0,7,0,0,1998,reg
Roger Thomas,MIA,M,310,1,0,9,0.29,0.0,2,2,0,1998,reg
Jorge Flores,DAL,M,777,1,0,11,0.12,0.0,0,4,0,1998,reg
Tyrone Marshall,COL,D,349,1,0,13,0.26,0.0,2,0,0,1998,reg
Ansil Elcock,CLB,D,2409,0,8,12,0.0,0.3,4,4,0,1998,reg
Chris Martinez,COL,D,2358,0,7,5,0.0,0.27,0,3,0,1998,reg
Martin Vasquez,SJ ,M,2076,0,7,14,0.0,0.3,1,6,0,1998,reg
Oscar Pareja,DAL,M,1486,0,7,18,0.0,0.42,2,4,0,1998,reg
Leonel Alvarez,DAL,M,2338,0,6,19,0.0,0.23,2,12,2,1998,reg
Mike Sorber,MET,M,2158,0,6,19,0.0,0.25,4,4,1,1998,reg
Kris Kelderman,MIA,M,1187,0,5,15,0.0,0.38,1,0,0,1998,reg
Paul Young,TB ,F,768,0,5,30,0.0,0.59,13,0,0,1998,reg
Tahj Jakins,COL,D,1147,0,4,4,0.0,0.31,0,3,1,1998,reg
Joe Franchino,LA ,M,736,0,4,7,0.0,0.49,0,4,0,1998,reg
Mark Santel,DAL,M,1634,0,4,12,0.0,0.22,5,3,0,1998,reg
Pablo Mastroeni,MIA,M,1611,0,4,21,0.0,0.22,8,2,0,1998,reg
Francis Okaroh,CHI,D,2294,0,3,0,0.0,0.12,0,6,0,1998,reg
Scott Cannon,CLB,D,750,0,3,2,0.0,0.36,1,0,0,1998,reg
Brian Sebapole,SJ ,F,238,0,3,3,0.0,1.13,0,0,0,1998,reg
Shawn Medved,SJ ,M,1059,0,3,7,0.0,0.25,0,3,0,1998,reg
Diego Gutierrez,CHI,D,812,0,3,8,0.0,0.33,0,1,1,1998,reg
Jason Boyce,COL,F,597,0,3,12,0.0,0.45,1,1,0,1998,reg
Guillermo Jara,LA ,M,571,0,3,12,0.0,0.47,1,0,0,1998,reg
